Coin Name,Date,Open,High,Low,Close,Volume,Currency
1inch Token,03/07/2021,2.39467597,2.495294094,2.334719896,2.469037056,51037360,USD
1inch Token,04/07/2021,2.484726906,2.661365032,2.412151098,2.534535885,67466621,USD
1inch Token,05/07/2021,2.53295207,2.534151077,2.350389957,2.485093117,71554799,USD
1inch Token,06/07/2021,2.49068594,2.928416014,2.488498926,2.838402033,316931322,USD
1inch Token,07/07/2021,2.838551998,2.963504076,2.747812033,2.761231899,250258240,USD
1inch Token,08/07/2021,2.762708902,2.769599915,2.459918976,2.511424065,238231153,USD
1inch Token,09/07/2021,2.508965969,2.625371933,2.412147045,2.57814002,237138792,USD
1inch Token,10/07/2021,2.577685118,2.62362504,2.439877987,2.488682032,219879455,USD
1inch Token,11/07/2021,2.489043951,2.572984934,2.434607983,2.517394066,218475067,USD
1inch Token,12/07/2021,2.518234968,2.587014914,2.376835108,2.425992012,222145233,USD
1inch Token,13/07/2021,2.422219038,2.454344988,2.287377119,2.319626093,210255307,USD
1inch Token,14/07/2021,2.320492983,2.360377073,2.178262949,2.295866013,213989919,USD
1inch Token,15/07/2021,2.296511889,2.348247051,2.127000093,2.143274069,202690477,USD
1inch Token,16/07/2021,2.146183014,2.20510006,1.956874013,1.968315959,208690875,USD
1inch Token,17/07/2021,1.964828014,2.079494953,1.951964021,2.010963917,189249845,USD
1inch Token,18/07/2021,2.014724016,2.117614031,1.999423027,2.030771017,187032386,USD
1inch Token,19/07/2021,2.030901909,2.048387051,1.780403972,1.781355023,180977413,USD
1inch Token,20/07/2021,1.787073016,1.82347405,1.622252941,1.712954044,180723608,USD
1inch Token,21/07/2021,1.709591985,1.917600036,1.662897944,1.824833035,184189391,USD
1inch Token,22/07/2021,1.828356028,2.073272943,1.785357952,2.04064703,223611102,USD
1inch Token,23/07/2021,2.040098906,2.149900913,1.944883943,2.11097908,246513315,USD
1inch Token,24/07/2021,2.111038923,2.146047115,1.988176942,2.044990063,217930271,USD
1inch Token,25/07/2021,2.044303894,2.123672962,1.948884964,2.042956114,232218568,USD
1inch Token,26/07/2021,2.046662092,2.34910202,2.023763895,2.14352107,327133937,USD
1inch Token,27/07/2021,2.139095068,2.219397068,2.077873945,2.216387987,276104509,USD
1inch Token,28/07/2021,2.218575954,2.231719017,2.13843894,2.182684898,247607523,USD
1inch Token,29/07/2021,2.187252998,2.262049913,2.14774704,2.24091506,259269075,USD
1inch Token,30/07/2021,2.245115995,2.321347952,2.16937995,2.310947895,281540995,USD
1inch Token,31/07/2021,2.305181026,2.440195084,2.263164997,2.383902073,267105515,USD
1inch Token,01/08/2021,2.375322104,2.483081102,2.303546906,2.326683998,276635998,USD
1inch Token,02/08/2021,2.320641994,2.388349056,2.282896042,2.307894945,256769928,USD
1inch Token,03/08/2021,2.307152987,2.343113899,2.185453892,2.216290951,279389428,USD
1inch Token,04/08/2021,2.223875046,2.409260035,2.190913916,2.343687057,323857579,USD
1inch Token,05/08/2021,2.34344697,2.436429977,2.238027096,2.416954041,329204011,USD
1inch Token,06/08/2021,2.41869998,2.560753107,2.360263109,2.512279034,347810167,USD
1inch Token,07/08/2021,2.513312101,2.718650103,2.492698908,2.698836088,365648914,USD
1inch Token,08/08/2021,2.704037905,2.707262993,2.451582909,2.490513086,274911732,USD
1inch Token,09/08/2021,2.487972975,2.83513093,2.401674032,2.763376951,401329640,USD
1inch Token,10/08/2021,2.76136899,2.865107059,2.671613932,2.795124054,394708588,USD
1inch Token,11/08/2021,2.792330027,3.100101948,2.784049988,2.938016891,364265006,USD
1inch Token,12/08/2021,2.94017911,3.058315992,2.706412077,2.812443972,373741401,USD
1inch Token,13/08/2021,2.811537981,3.073165894,2.79370594,3.07009697,375808919,USD
1inch Token,14/08/2021,3.07229495,3.109217882,2.933032036,3.058156967,317925589,USD
1inch Token,15/08/2021,3.059231043,3.088721037,2.905033112,3.048088074,311502089,USD
1inch Token,16/08/2021,3.04666996,3.286937952,2.990776062,3.046308041,370561333,USD
1inch Token,17/08/2021,3.036060095,3.391248941,2.980681896,3.06257391,438889073,USD
1inch Token,18/08/2021,3.079298019,3.259892941,2.961910963,3.123744965,408778527,USD
1inch Token,19/08/2021,3.11499691,3.458873034,3.07683897,3.423018932,448899734,USD
1inch Token,20/08/2021,3.425090075,3.614180088,3.374605894,3.44839406,417830055,USD
1inch Token,21/08/2021,3.45035696,3.532562971,3.340528011,3.362304926,382959467,USD
1inch Token,22/08/2021,3.366044998,3.502110958,3.278116941,3.389451027,358315113,USD
1inch Token,23/08/2021,3.389528036,3.493451118,3.325584888,3.409373999,352541223,USD
1inch Token,24/08/2021,3.412599087,3.505132914,3.038089037,3.070583105,365563748,USD
1inch Token,25/08/2021,3.069711924,3.199117899,2.949366093,3.171854019,340245311,USD
1inch Token,26/08/2021,3.179090023,3.210807085,2.870157957,2.924578905,321902251,USD
1inch Token,27/08/2021,2.925386906,3.273919106,2.838448048,3.211493015,387662390,USD
1inch Token,28/08/2021,3.215089083,3.354841948,3.185504913,3.284215927,365926517,USD
1inch Token,29/08/2021,3.287111998,3.320668936,3.109688044,3.156878948,316195068,USD
1inch Token,30/08/2021,3.158483982,3.173804998,3.002041101,3.005978107,315420913,USD
1inch Token,31/08/2021,3.013549089,3.182202101,2.952285051,3.048285961,342321007,USD
1inch Token,01/09/2021,3.053821087,3.371196985,2.983449936,3.356972933,398167303,USD
1inch Token,02/09/2021,3.346266031,3.434798002,3.260489941,3.357507944,378815762,USD
1inch Token,03/09/2021,3.355081081,3.669131994,3.277124882,3.579766035,449124756,USD
1inch Token,04/09/2021,3.572891951,3.778655052,3.481470108,3.685009956,432361932,USD
1inch Token,05/09/2021,3.681493044,4.008768082,3.658210039,3.832355022,464713614,USD
1inch Token,06/09/2021,3.834176064,3.958827019,3.571470022,3.707542896,426350243,USD
1inch Token,07/09/2021,3.709620953,3.743841887,2.624840021,2.91528511,458344146,USD
1inch Token,08/09/2021,2.919554949,3.016999006,2.597875118,2.91680789,384594042,USD
1inch Token,09/09/2021,2.854403973,3.196464062,2.840464115,3.024678946,346571160,USD
1inch Token,10/09/2021,3.028529882,3.163562059,2.757668018,2.883737087,313027687,USD
1inch Token,11/09/2021,2.880072117,3.02531004,2.832130909,2.910012007,289274427,USD
1inch Token,12/09/2021,2.912682056,3.113261938,2.831573963,2.986203909,306870715,USD
1inch Token,13/09/2021,2.989272118,3.011579037,2.703834057,2.84127903,292449599,USD
1inch Token,14/09/2021,2.841859102,3.107737064,2.816515923,3.068754911,340045056,USD
1inch Token,15/09/2021,3.071424961,3.325009108,3.016578913,3.309314966,389847884,USD
1inch Token,16/09/2021,3.299873114,3.515604973,3.19117403,3.334197044,452836542,USD
1inch Token,17/09/2021,3.328644991,3.361157894,3.025022984,3.117769003,343973201,USD
1inch Token,18/09/2021,3.117794037,3.315864086,3.063472986,3.136333942,329379607,USD
1inch Token,19/09/2021,3.130471945,3.137213945,2.907325029,2.946398973,299403175,USD
1inch Token,20/09/2021,2.946703911,2.954060078,2.520713091,2.555407047,314175001,USD
1inch Token,21/09/2021,2.571737051,2.664587021,2.251044989,2.319215059,280235060,USD
1inch Token,22/09/2021,2.316277027,2.684617043,2.265695095,2.634058952,297873541,USD
1inch Token,23/09/2021,2.631058931,2.840181112,2.564502954,2.780575037,323836734,USD
1inch Token,24/09/2021,2.780473948,2.837945938,2.385900021,2.54522109,305831973,USD
1inch Token,25/09/2021,2.547182083,2.597805977,2.448021889,2.490751982,263023207,USD
1inch Token,26/09/2021,2.49269104,2.796224117,2.223517895,2.678112984,365045328,USD
1inch Token,27/09/2021,2.685827017,2.903255939,2.515599012,2.524398088,330303585,USD
1inch Token,28/09/2021,2.525424004,2.616177082,2.369301081,2.377933979,271279594,USD
1inch Token,29/09/2021,2.374944925,2.575421095,2.365108967,2.498569965,289454089,USD
1inch Token,30/09/2021,2.501404047,2.653502941,2.477014065,2.547421932,284375463,USD
1inch Token,01/10/2021,2.553247929,2.956593037,2.543613911,2.910553932,379990831,USD
1inch Token,02/10/2021,2.914617062,3.166176081,2.816113949,3.059427023,396006661,USD
1inch Token,03/10/2021,3.053109884,3.243155956,2.96934104,3.078850031,384551563,USD
1inch Token,04/10/2021,3.079659939,3.214858055,2.927467108,3.159672022,384991569,USD
1inch Token,05/10/2021,3.167385101,3.316113949,3.137340069,3.275561094,391883175,USD
1inch Token,06/10/2021,3.275482893,3.350964069,2.972600937,3.116606951,373598779,USD
1inch Token,07/10/2021,3.117212057,3.250749111,3.024971008,3.136101007,351207505,USD
1inch Token,08/10/2021,3.132297039,3.286626101,3.086277962,3.161232948,341173999,USD
1inch Token,09/10/2021,3.15751195,3.241205931,3.135863066,3.194482088,312404238,USD
1inch Token,10/10/2021,3.198028088,3.198028088,2.945370913,2.960872889,303332468,USD
1inch Token,11/10/2021,2.958189011,3.059525013,2.817584038,2.906793118,303960943,USD
1inch Token,12/10/2021,2.907975912,2.932919979,2.702878952,2.896750927,310675416,USD
1inch Token,13/10/2021,2.896066904,2.987267017,2.828264952,2.962342978,315692156,USD
1inch Token,14/10/2021,2.962251902,3.493033886,2.953397989,3.345316887,495456229,USD
1inch Token,15/10/2021,3.358114004,3.375747919,3.038942099,3.235294104,421916841,USD
1inch Token,16/10/2021,3.24020505,3.331796885,3.18845892,3.204387903,334328720,USD
1inch Token,17/10/2021,3.204329014,3.571825027,3.169029951,3.481091022,466996800,USD
1inch Token,18/10/2021,3.48110795,3.64516592,3.301250935,3.446086884,469622637,USD
1inch Token,19/10/2021,3.450903893,3.769231081,3.419388056,3.73823905,464346215,USD
1inch Token,20/10/2021,3.731550932,4.232051849,3.665605068,4.187333107,573281360,USD
1inch Token,21/10/2021,4.167985916,4.536287785,4.068334103,4.131885052,586759416,USD
1inch Token,22/10/2021,4.134778023,4.330117226,3.935998917,4.016643047,508012870,USD
1inch Token,23/10/2021,4.019640923,4.076032162,3.834619045,4.021334171,450266458,USD
1inch Token,24/10/2021,4.028936863,4.066686153,3.691690922,3.81024909,440583618,USD
1inch Token,25/10/2021,3.809015989,4.161921024,3.766916037,4.044725895,158172438,USD
1inch Token,26/10/2021,4.045474052,4.192516804,3.889523029,3.951939106,152703496,USD
1inch Token,27/10/2021,3.949969053,7.549873829,3.914428949,5.674349785,3981944130,USD
1inch Token,28/10/2021,5.712820053,5.75053215,4.763632774,5.14864397,1013391127,USD
1inch Token,29/10/2021,5.155053139,5.566483974,4.939653873,5.039698124,463817689,USD
1inch Token,30/10/2021,5.049342155,5.131468773,4.585392952,4.718988895,265666399,USD
1inch Token,31/10/2021,4.715834141,4.715834141,4.309297085,4.585309982,271069693,USD
1inch Token,01/11/2021,4.572533131,4.657587051,4.238265991,4.573478222,230861626,USD
1inch Token,02/11/2021,4.569159985,4.759652138,4.404728889,4.626373768,204828684,USD
1inch Token,03/11/2021,4.626556873,4.629518032,4.332620144,4.41883707,167707115,USD
1inch Token,04/11/2021,4.430245876,4.599497795,4.33477211,4.506892204,243848206,USD
1inch Token,05/11/2021,4.51128912,4.608763218,4.377678871,4.403429031,153020247,USD
1inch Token,06/11/2021,4.401539803,4.459883213,4.181667805,4.416616917,165571528,USD
1inch Token,07/11/2021,4.425983906,4.613165855,4.37325716,4.571435928,165385541,USD
1inch Token,08/11/2021,4.576243877,4.619942188,4.431224823,4.619942188,168577515,USD
1inch Token,09/11/2021,4.631159782,4.636240005,4.422455788,4.422455788,187932312,USD
1inch Token,10/11/2021,4.433039188,4.726604939,3.809106112,4.082431793,288958138,USD
1inch Token,11/11/2021,4.083280087,4.486149788,4.023309231,4.297469139,240942058,USD
1inch Token,12/11/2021,4.288967133,4.288967133,4.008524895,4.167580128,150080030,USD
1inch Token,13/11/2021,4.167770863,4.295556068,4.109316826,4.280212879,141969880,USD
1inch Token,14/11/2021,4.280838966,4.337631226,4.151996136,4.281720161,125804867,USD
1inch Token,15/11/2021,4.281729221,4.350806236,4.139704227,4.18790102,141774831,USD
1inch Token,16/11/2021,4.198645115,4.231924057,3.596185923,3.85956502,226987815,USD
1inch Token,17/11/2021,3.85146904,3.947056055,3.744731903,3.92040205,165056000,USD
1inch Token,18/11/2021,3.92753005,4.00864315,3.495279074,3.548403978,180098962,USD
1inch Token,19/11/2021,3.545345068,3.94916296,3.481287003,3.89042592,163102201,USD
1inch Token,20/11/2021,3.893615961,4.023935795,3.804368019,3.981612921,152106999,USD
1inch Token,21/11/2021,3.985852003,4.142758846,3.867695093,3.996804953,212403083,USD
1inch Token,22/11/2021,3.995510101,3.999542952,3.764966965,3.82387495,168640200,USD
1inch Token,23/11/2021,3.825503111,4.095826149,3.756522894,4.03438282,185211959,USD
